recipe_id,step,description
81,1,"
	
		
	
	
		
			Different places in India have different ways of transforming potatoes into various aloo chaat recipes. Here are some more ways to create the aloo chaat recipe :
		

Mumbai roadside aloo chaat recipe

Punjabi style aloo chaat

Dilliwale roadise spicy aloo chaat

"
83,1,"Place ½ the marinated potatoes in a plate and top with ¼ cup whisked curds, 1 tsp garlic chutney, 2 tsp green chutney, 1 tbsp sweet chutney."
83,2,"Sprinkle a pinch of cumin seeds powder and chilli powder, 2 tbsp moong sprouts, 2 tsp masala chana dal and 2 tbsp sev."
83,3,Repeat steps 1 and 2 to make 1 more plate.
83,4,Serve the aloo chaat immediately garnished with coriander.
84,1,Fill a taco shell with 1 tbsp of the iceberg lettuce and 1 tbsp of the aloo stuffing evenly over it.
84,2,"Put 2 tsp of curds, 1 tsp of sweet chutney,  ½ tsp of coriander and ¼ tsp cumin seeds powder evenly over it."
84,3,Repeat steps 1 and 2 to make 4 more tacos.
84,4,Serve immediately.
86,1,Combine all the ingredients in a deep bowl and mix well.
86,2,Divide the mixture into 6 equal portions and roll each portion into a cylindrical roll.
86,3,"Heat the oil in a deep non-stick kadhai and deep-fry, 3 rolls at a time, till they turn golden brown in colour from all the sides. Keep aside."
87,1,Place a roti on a clean dry surface and spread ¼th of the potato stuffing in a single row in the centre of the roti.
87,2,Drizzle ¼th of the masala water and 1 tsp of chillies in the vinegar evenly over it.
87,3,Sprinkle ¼th of the onion masala mixture on it and roll it up tightly.
87,4,Repeat with the remaining ingredients to make 3 more frankies.
87,5,Wrap a tissue paper around each frankie and serve immediately.
92,1,Combine all the ingredients in a deep bowl and knead into a soft dough using enough water.
92,2,Add oil to the dough and knead well.
92,3,Divide the dough into 6 equal portions and keep aside.
95,1,"Combine all the ingredients, except the oil, in a mixer and blend to a smooth paste."
95,2,"Heat the mustard oil in a kadhai, add the prepared paste and sauté for 2 minutes. Keep aside."
96,1,Cool the potatoes completely and cut each potato horizontally into 2 halves.
96,2,"Scoop the center of each potato half a little, using a spoon so that a light depression is formed for the filling."
96,3,Fill 1 portion of the filling into each potato case and press them well so the filling does not spill out.
96,4,"Heat a non-stick tava (griddle), place the stuffed potato cases on it with the stuffed side facing upwards and cook on a medium flame for 1 minute, using a little butter."
96,5,Turn them upside down and cook on a medium flame for 1 minute.
96,6,Top with the sev and green chutney and serve immediately.
101,1,Divide the stuffing into 6 equal portions. Keep aside.
101,2,Divide the dough into 6 equal portions.
101,3,Press a portion of the dough flat on a rolling board and roll into a 125 mm. (5”) diameter circle using a little plain flour for rolling.
101,4,Place a portion of the stuffing in the centre and press it lightly.
101,5,Bring together all the sides in the centre and seal tightly.
101,6,Roll again into a circle of 150 mm. (6”) diameter circle with a little plain flour for rolling.
101,7,Sprinkle ½ tsp of black sesame seeds and 1 tsp of coriander evenly over it and roll again into 200 mm. (8”) diameter circle using a little plain flour for rolling.
101,8,Repeat steps 3 to 7 to roll 5 more kulchas.
101,9,Heat a non-stick tava (griddle) and place a kulcha over it with the black sesame seed-coriander side facing downwards.
101,10,Cook it on one side till it puffs slightly and then turn over.
101,11,Cook it on the other side till it puffs a little and then roast it on an open flame till it turns golden brown from both the sides.
101,12,Repeat the steps 9 to 11 to cook 5 more kulchas.
101,13,Brush each kulcha with a little butter and serve immediately.
106,1,Heat the oil in a broad non-stick pan and add the cumin seeds.
106,2,"When the seeds crackle, add the fenugreek leaves and sauté on a medium flame for 2 minutes."
106,3,"Add the ginger-green chilli paste, turmeric powder, coriander powder, chaat masala and salt and sauté on a medium flame for a few seconds."
106,4,"Add the potatoes, mix well and cook on a medium flame for 1 to 2 minutes, while stirring occasionally."
106,5,Divide the stuffing into 5 equal portions and keep aside.
112,1,"Heat the oil in a deep non-stick pan, add the cardamom, bayleaf and ginger-garlic paste and sauté on a medium flame for a few seconds."
112,2,"Add the curds, turmeric powder, chilli powder and the prepared white gravy mixture, mix well and cook on a medium flame for 2 to 3 minutes, while stirring continuously."
112,3,"Add the garam masala, sugar, fresh cream, potatoes, green peas, salt and ½ cup of water, mix well and cook on a medium flame for 4 to 5 minutes, while stirring occasionally."
112,4,Serve hot garnished with coriander.
113,1,"
	
		
	
	
		
			For the aloo mutter recipe, heat the oil and add the cumin seeds.
	

"
113,2,"
	
		
	
	
		
			When they crackle, add the onions and sauté till they are translucent. This would take around 2 minutes on a medium flame.
	

"
113,3,"
	
		
	
	
		
			Add the garlic.
	

"
113,4,"
	
		
	
	
		
			Add the ginger. You can even make use of ginger-garlic paste instead.
	

"
113,5,"
	
		
	
	
		
			Add the green chilli paste. Learn how to make green chilli paste that stays fresh for upto 2 months.
	

"
113,6,"
	
		
	
	
		
			Add the tomatoes. Use tomato puree if you prefer slight gravy in the aloo matar recipe.
	

"
113,7,"
	
		
	
	
		
			Simmer till the tomatoes are cooked. This would take around 3 minutes on a medium flame. Don't forget to stir it occasionally.
	

"
113,8,"
	
		
	
	
		
			Add 1 tbsp water.
	

"
113,9,"
	
		
	
	
		
			Mash lightly using a potato masher.
	

"
113,10,"
	
		
	
	
		
			Add the green peas. Learn how to boil mutter in a microwave.
	

"
113,11,"
	
		
	
	
		
			Add the potatoes. You can either pressure cook the aloo or boil them in a microwave. Learn how to boil potatoes in a microwave.
	

"
113,12,"
	
		
	
	
		
			Add salt to taste and chilli powder. Additional dry spices such as coriander powder and cumin seeds powder can also be added to enhance the flavor of the aloo matar subzi.
	

"
113,13,"
	
		
	
	
		
			Add the garam masala. For the Punjabi aloo matar gravy recipe, make use of the Punjabi garam masala.
	

"
113,14,"
	
		
	
	
		
			Cook for 3 to 4 minutes. You can even pressure cook aloo mutter sabzi for 3 whistles or till it gets cooked well to make it quickly .
	

"
113,15,"
	
		
	
	
		
			Add 1 cup of water. Adjust the consistency by adding more or less water as per your preference.
	

"
113,16,"
	
		
	
	
		
			Cook the aloo mutter subzi for around 2 minutes or till it comes to a boil.
	

"
113,17,"
	
		
	
	
		
			Mash 2 to 3 pieces of potatoes in the pan to thicken the aloo matar gravy.
	

"
113,18,"
	
		
	
	
		
			Simmer till the potato peas gravy thickens.
	

"
113,19,"
	
		
	
	
		
			Garnish aloo mutter with coriander and serve hot with rotis or parathas.
	

"
113,20,"
	
		
	
	
		
			There are many ways to make the aloo mutter subzi, here are some variations that you might want to try aloo mutter tariwale, aloo mutter korma, darbari aloo mutter sabzi, sukhi aloo mutter ki subzi.
"
115,1,"Natural release method: to use this method, remove the pressure cooker from the hot burner and let the pressure drop by cooling down naturally. It works best for grains and for beans that you might use for salads, as quick-releasing the pressure can cause the beans to split apart."
124,1,Heat the ghee in a broad non-stick pan and add the cumin seeds.
124,2,"When the seeds crackle, add the onions and sauté on a medium flame for 1 to 2 minutes."
124,3,"Add the green chillies, mix well and sauté on a medium flame for 1 minute."
124,4,"Add the potatoes, salt, chilli powder, coriander, dry mango powder, mix well and cook on a medium flame for 1 to 2 minutes, while stirring continuously."
124,5,Divide the stuffing into 12 equal portions and keep aside.
125,1,Heat the ghee in a broad non-stick pan and add the cumin seeds.
125,2,"When the seeds crackle, add the onions and sauté on a medium flame for 1 to 2 minutes."
125,3,"Add the green chillies, mix well and sauté on a medium flame for 1 minute."
125,4,"Add the potatoes, salt, chilli powder, coriander, dry mango powder, mix well and cook on a medium flame for 1 to 2 minutes, while stirring continuously."
125,5,Divide the stuffing into 12 equal portions and keep aside.
132,1,Cut each burger bun horizontally into two.
132,2,Apply 1 tsp of butter on both the sides of each half of the burger bun and toast them lightly on a non-stick tava (griddle).
132,3,"Place 2 cooked burger bun halves on a clean, dry surface."
132,4,Spread a little of the prepared spread on each halve and spread it evenly.
132,5,Put ¼ cup of lettuce on the lower burger bun halve.
132,6,"Put an aloo tikki on it, 1 cheese slice, 2 tomato slices, 2 onion slices and finally sprinkle a little salt and pepper evenly over it."
132,7,Cover with an upper halve of the burger bun with the buttered–spread side facing downwards and press it lightly.
132,8,Repeat steps 3 to 7 to make 5 more burgers.
132,9,Serve immediately.
133,1,"Combine the curds and sugar in a deep bowl, mix well using a whisk. Keep aside."
133,2,"Just before serving, place 2 aloo tikkis on a serving plate."
133,3,"Spread ¼ cup of curd-sugar mixture, 2 tsp of khajur imli ki chutney, and 2 tsp of green chutney evenly over it."
133,4,"Sprinkle ¼ tsp of cumin seeds powder, ? tsp of chaat masala and ? of black salt evenly over it."
133,5,"Finally sprinkle 1 tbsp of nylon sev, 1 tsp of coriander and 1 tbsp of pomegranate evenly over it."
133,6,Repeat steps 2 to 5 to make 3 more plates.
133,7,Serve immediately.
138,1,"
	
		
	
	
		
			We have a good collection of Odia recipes on our website . So apart from Amba Khatta you can try out recipes like :
		

Dahi Bhendi ( Odisha Style Okra Raita)

Kechuri (similar to Bengali style Khichdi)

Baigana bhaja (similar to Bengali Begun bhaja)

		
			 
	

"
139,1,Combine the moong dal and turmeric powder with 1 cup of water and pressure cooker for 2 whistles.
139,2,Allow the steam to escape before opening the lid. Keep aside.
139,3,"Combine the malabar spinach, cooked dal and 1½ cups water in a kadhai and cook over a medium flame till the bhaji gets cooked."
139,4,Add the prepared paste and salt and cook for 5 more minutes. Keep aside.
139,5,"Heat the oil in a small pan, add the onions and sauté till the onions turn translucent."
139,6,Pour this tempering over the cooked dal. Serve hot
140,1,Heat the oil in a vessel and add the vegetables. Cook on a high flame for 3 to 4 minutes.
140,2,"Add the prepared sauce, boiled noodles, chilli sauce and salt and cook for a few minutes."
140,3,Add half of the fried noodles and mix well.
140,4,"Serve hot, topped with the rest of the fried noodles."
141,1,"Combine the cornflour with 1½ cups of water in a deep bowl, mix well and keep aside."
141,2,"Heat the oil in a deep non-stick pan, add the onions and sauté on a medium flame for 1 minute."
141,3,"Add the capsicum, carrot and cabbage and sauté on a medium flame for 2 to 3 minutes."
141,4,Add the boiled hakka noodles and sauté on a medium flame for 1 minute.
141,5,"Add the tomato ketchup and chilli sauce, mix well and cook on a medium flame for 1 minute, while stirring occasionally."
141,6,"Add the cornflour-water mixture, vinegar, sugar and salt, mix well and cook on a medium flame for 3 to 4 minutes or till the sauce thickens, while stirring occasionally."
141,7,Divide it into 2 equal portions and keep aside.
142,1,"Combine the cornflour with 1½ cups of water in a deep bowl, mix well and keep aside."
142,2,"Heat the oil in a deep non-stick pan, add the onions and sauté on a medium flame for 1 minute."
142,3,"Add the capsicum, carrot and cabbage and sauté on a medium flame for 2 to 3 minutes."
142,4,Add the boiled hakka noodles and sauté on a medium flame for 1 minute.
142,5,"Add the tomato ketchup and chilli sauce, mix well and cook on a medium flame for 1 minute, while stirring occasionally."
142,6,"Add the cornflour-water mixture, vinegar, sugar and salt, mix well and cook on a medium flame for 3 to 4 minutes or till the sauce thickens, while stirring occasionally."
142,7,Divide it into 2 equal portions and keep aside.
143,1,"Heat the oil in a broad non-sick pan, add all the vegetables and salt, mix well and cook on a high flame for 4 to 5 minutes, while stirring occasionally."
143,2,"Add  the prepared sauce and boiled noodles,  mix well and cook on a medium flame for 2 minutes, while stirring continuously."
143,3,"Spread the fried noodles in a serving deep dish, and pour the prepared vegetable mixture evenly over it."
143,4,Serve immediately.
146,1,Always use your hands while mixing the batter to break the lumps.
147,1,"Always use your hands while mixing the batter to break lumps of the besan, sugar and citric acid crystals."
149,1,"Crumble the dhoklas in a bowl and keep aside. Traditionally, Amiri khaman is made using vaati dal (chana dal) dhokla, but this is a quick and easy way to make Surti sev khamani using leftover khaman dhokla. Check out our recipe with detailed step by step photos to learn how to make Nylon khaman dhokla at home."
149,2,Heat the oil in a kadhai or tadka pan and add the mustard seeds.
149,3,"When the seeds crackle, add the garlic. You can also use garlic paste. If you love spicy food then also add finely chopped green chillies."
149,4,Add the asafoetida. Sauté on a medium flame for a few seconds.
149,5,Pour this tempering over the crumbled khaman dhoklas.
149,6,Mix well so the tempering spreads evenly.
149,7,Add the sugar. Powdered sugar is easier to mix in the sev khamani.
149,8,"Add the pomegranate seeds. They not only add a pleasant sweetness but also, a bite to the surti khamani."
149,9,Add the coriander. They provide bright colour and amazing taste to amiri khaman.
149,10,"Finally, add the freshly grated coconut. Mix well and your quick Surti Sev Khamani is ready! "
149,11,"Just before serving, add the sev."
149,12,Serve the amiri khaman immediately. It is a perfect breakfast and tea-time snack with a cup of elaichi cha or ukado.
170,1,Put 2 tbsps of warm milk in a small bowl.
170,2,"Put a few saffron strands in the milk. When you add saffron to warm liquid, in this case milk, it releases flavor and a beautiful yellow color."
170,3,Mix well and keep aside till you make the Anjeer Basundi. No Indian sweet is complete without the addition of a spice like saffron.
170,4,Pour the full fat milk in a deep non-stick pan. The important thing to remember here is that the milk has to be full fat. The process of making basundi includes thickening the milk over a slow flame and this will only be possible with full fat milk. This process is similar to that of Rabdi. 
170,5,Add the sugar to the milk. We are only using 2 tbsps of sugar here because this is an anjeer basundi. The dried figs we are going to use are also very sweet in nature and hence that eliminates the need to add more sugar here.
170,6,Mix well and heat both these things over a high flame. We are doing this to bring the milk to a boil. This is should take approximately 5 minutes and it is to be stirred occasionally. The quality and the thickness of the pan really matters here as you do not want the milk to burn and brown at the bottom of the pan.
170,7,"Reduce the heat to a low-medium flame and cook for 15 to 17 minutes, while stirring occasionally and while scrapping the sides of the pan. This step is essential to the Anjeer basundi recipe because the malai stuck to the pan provides the thickness and consistency we desire in the basundi."
170,8,"Once the milk is reduced by half, add the anjeer pieces. Only dried figs should be used to make the basundi as fresh figs will result in the milk curdling."
170,9,Also add saffron-milk mixture which we had kept aside previously. The milk would’ve gotten a yellow color by now.
170,10,Add the cardamom powder as well. This spice is also very important in making Indian Sweets. Even a little of the powder goes a long way in providing flavor.
170,11,"Mix well and cook on a medium flame for 2 minutes, while stirring occasionally and scrapping the sides of the pan."
170,12,Switch off the flame and cool completely.
170,13,"Refrigerate for atleast 1 hour. After making the basundi, it might seem a little runny but that will thicken as you refrigerate it."
170,14,Serve chilled after a hearty Indian meal. 
170,15,You can also make Pineapple Basundi or a Dry Fruits Basundi
174,1,Blend all the ingredients using little water (if required) till smooth.
174,2,Strain the juice using a strainer or a muslin cloth.
174,3,Add some crushed ice in 2 glasses and pour the juice over it. Serve immediately.
177,1,Use fresh and ripe strawberries to avoid the use of sigar in this juice.
177,2,"When kiwis are in season, replace strawberries with 1 cup of chopped kiwis and enjoy an equally good vitamin c boost drink."
179,1,"Heat a non-stick tava (griddle), place the capsicum skin side down and cook till the skin blisters and turns black."
179,2,Remove from the flame and keep aside covered with a damp kitchen towel for 5 minutes.
179,3,Peel away the skin and cut each capsicum piece into cubes. Keep aside.
179,4,"Combine the oil, lemon juice, basil, parsley and salt together in a bowl and mix well."
179,5,"Add the capsicum and baby corn, toss well and keep aside to marinate for at least 2 to 3 hours. Keep refrigerated."
183,1,"Combine the soaked rice, cooked rice and approx. ½ cup of warm water and blend in a mixer to smooth paste. Keep aside."
183,2,"Combine the dry yeast, sugar and ½ cup of warm water in a bowl and mix well."
183,3,"Put a pinch of plain flour, cover and keep aside for 10 minutes."
183,4,"Combine the ground paste, coconut milk, salt and sugar and mix well."
183,5,Add the prepared yeast mixture and mix very well. Cover and keep aside to ferment for 2 to 3 hours.
183,6,Heat an appachatti (appam kadhai) and grease it lightly with oil.
183,7,Pour a big ladleful of the batter into it and slowly rotate the kadhai in a circular motion so that a thin layer forms on the side while it remains thick in the centre.
183,8,"Put a little oil on the edges, cover with a lid and cook on a slow flame for 2 to 3 minutes, remove the appam when the centre fluffy part is cooked."
183,9,Repeat with the remaining batter to make 14 more appams.
183,10,Serve immediately with coconut stew.
186,1,"Combine the stewed apples, bananas, curds and sugar and blend into a smooth mixture in a blender."
186,2,Add the lemon juice and mix well.
186,3,Pour into plastic ice-cube moulds and freeze for 6 to 8 hours till firm.
186,4,Unmold and serve immediately.
197,1,"In the above recipe, use grated apples instead of sliced apples and spread the apples on a serving tray."
197,2,Top with 3 sandesh.
197,3,Decorate with saffron dots and serve.
204,1,Combine all the ingredients with ¼ cup of water and simmer till the apples are soft. Cool completely.
213,1,"Combine the orange marmalade and lemon juice along with 3 tbsp of water in a non-stick pan and cook on a medium flame for 2 to 3 minutes, while stirring continuously. Keep aside."
215,1,Combine all the ingredients in a broad non-stick pan and lightly roast them on a slow flame for 2 minutes. Keep aside to cool slightly.
215,2,Transfer the mixture into a bowl and keep aside to cool slightly.
219,1,Divide the fruit salad into 4 equal portions and keep aside.
219,2,"Just before serving, put a portion of the fruit salad in each of the apple cup and serve immediately."
224,1,"Warm the saffron in a small vessel, add milk and rub until the saffron dissolves. Keep aside."
224,2,Combine the sugar and 1 cup of water in a deep kadhai and boil on a medium flame for 8 to 10 minutes or till the sugar dissolves completely and the syrup is of 1 thread consistency.
224,3,"Add the saffron-milk mixture, saffron colour and rose water, mix well and cook on a slow flame for 2 more minutes, while stirring continuously."
224,4,Keep the syrup warm.
227,1,This recipe doesn’t turn out good in a juicer because the texture of ingredients like apple is very hard.
228,1,"Combine the apples, cinnamon stick, lemon juice and 2 tbsp of water in a broad non-stick pan and mix gently. Cover with a lid and cook on a medium flame for 4 minutes while tossing it occasionally."
228,2,"Switch off the flame, add the sugar substitute and toss gently. Keep aside."
231,1,Combine the apples and lemon juice in a deep bowl and toss well.
231,2,"Combine the apple-lemon juice mixture, sugar, cinnamon powder, raisins and almonds in a deep non-stick pan, mix well and cover with a lid and cook on a medium flame for 8 minutes, while stirring occasionally and mashing it a little with the back of a spoon."
231,3,"Remove the lid, continue cooking on a medium flame for 2 minutes, while stirring occasionally. Keep aside."
232,1,"Since this is prepared by steeping apples in hot water, it contains mild, water-soluble nutrients that can be easily digested by your baby."
233,1,It is highly recommended that this recipe be relished by diabetics only occasionally and in small quantities. This is just a mere ‘treat’ and does not qualify for a regular diabetic menu.
234,1,"Make sure you grate the apples just before making the rabadi, or the apples may turn brown in colour."
235,1,"Combine the apple slices, brown sugar and ½ cup of water in a broad non-stick pan, mix well an cook on a medium flame for 8 to 10 minutes or till the apples turn soft, while stirring occasionally."
235,2,Remove from the flame and mash the apple mixture coarsely using a potato masher.
235,3,Add the cinnamon powder and mix well.
235,4,Cool slightly and divide it into 5 equal portions.
241,1,Pack in an air-tight tiffin box.
243,1,"Sieve together the flour, sugar and salt."
243,2,Make a well in the centre and add the oil.
243,3,"Add warm water gradually, stirring with a fork to make a soft sticky dough."
243,4,Knead the dough.
243,5,"Form into a ball, place in a bowl and cover with a warm cloth.  Leave to rest for 1 hour."
250,1,"Combine the wheat flour, soyamilk, sugar, salt and fruit salt in a bowl and mix well to make a thick batter. "
250,2,"Heat a non-stick pan, pour a laddleful of the batter to make a circle of 100 mm. (4"") in diameter. "
250,3,Cook on both sides using little oil till it turn golden brown in colour.
250,4,Repeat with the remaining batter to make 5 more pancakes and keep aside.
252,1,"To make ¾ cup of apricot purée, soak 1 cup of apricots in hot water for 15 minutes. Drain, remove and discard the seeds and grind them to a smooth purée in a mixer, using 2 tbsp of water."
255,1,"Combine the custard powder in ¼ cup of low-fat milk in a bowl, mix well and keep aside."
255,2,"Combine the remaining ¾ cup of milk and sugar in a broad non-stick pan, mix well and bring to boil."
255,3,"Add the custard powder-milk mixture, mix well and cook on a slow flame for 4 minutes or till the custard coats the back of a spoon, while stirring continuously. Keep aside to cool slightly."
255,4,"Once cooled, refrigerate for atleast an hour."
258,1,"Grease your hands generously with oil before you start to peel or cut the colocasia, or you will end up with sticky, dirty fingers!"
259,1,"Combine, ½ teaspoon chilli powder, besan and little salt in a deep bowl, mix gently , add the colocasia slices and toss gently."
259,2,Heat the oil for deep-frying in a deep non-stick pan and deep-fry the colocasia a few at a time till they turn golden brown and crisp. Drain on an absorbent paper and keep aside.
259,3,"Heat the oil in a deep non-stick pan, pan, add the prepared paste and sauté on a medium flame for 3 to 4 minutes."
259,4,"Add the tomato pulp, garam masala, dried mango powder, remaining 1 tsp of chilli powder and salt, mix well and cook on a medium flame for 2 to 3 minutes ,while stirring occasionally."
259,5,"Add the curds and milk, mix well and cook on a medium flame for 2 minutes ,while stirring continuously."
259,6,"Add the deep-fried colocasia, mix gently and cook on a medium flame for 1 minute."
259,7,Serve hot.
262,1,Heat the oil in a deep non-stick pan and add the cumin seeds.
262,2,"When the seeds crackle, add the curry leaves, tomato purée, 2 cups of water, toovar dal, chilli powder, prepared masala and salt; mix well and bring to a boil."
262,3,Add the lemon juice and mix well.
262,4,Serve hot garnished with coriander.
264,1,"Heat the butter in a broad non-stick pan, add the garlic and sauté for a few seconds."
